Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1789454420,193904849,39,2,2,0,0.00,4.21
1789454421,193928886,42,0,1,0,0.00,9.90
1789454422,193884925,39,0,0,0,0.00,11.00
1789454423,193896962,16,0,0,0,0.00,8.00
1789454424,193902999,47,1,1,0,0.00,14.14
1789454425,193906037,45,2,3,0,0.00,12.24
1789454426,193915074,54,0,0,0,0.00,12.37
1789454427,193877112,40,0,0,0,0.00,10.10
1789454428,194309144,30,0,0,0,0.00,6.38
1789454429,193881187,39,0,0,0,0.00,9.18
1789454430,193878225,38,0,0,0,0.00,4.21
1789454431,193905262,8,0,0,0,0.00,4.00
1789454432,193878300,48,1,1,0,0.00,8.25
1789454433,193875337,28,0,0,0,0.00,6.12
1789454434,193885375,37,0,1,0,0.00,13.73
1789454435,193883412,32,2,2,0,0.00,8.16
1789454436,193877449,35,1,1,0,0.00,5.26
1789454437,193907486,18,0,0,0,0.00,6.00
1789454438,193893524,56,0,0,0,0.00,9.38
1789454439,193878561,40,3,3,0,0.00,7.29
1789454440,193890599,23,0,0,0,0.00,4.12
1789454441,193907636,32,0,0,0,0.00,6.19
1789454442,193895673,37,1,1,0,0.00,11.88
1789454443,193956710,23,0,0,0,0.00,8.91
1789454444,193936747,41,0,0,0,0.00,10.20
1789454445,193885785,42,0,0,0,0.00,7.14
1789454446,193875823,35,0,1,0,0.00,8.16
1789454447,193884860,37,0,0,0,0.00,10.00
1789454448,193685900,31,1,0,0,0.00,9.00
1789454449,193881934,35,0,0,0,0.00,9.18
1789454450,193890971,27,1,1,0,0.00,7.07
1789454451,193926008,24,0,0,0,0.00,5.10
1789454452,193880046,26,1,2,0,0.00,4.12
1789454453,193881083,31,1,1,0,0.00,11.76
1789454454,193913120,31,0,0,0,0.00,7.22
1789454455,193885157,24,0,0,0,0.00,6.25
1789454456,193896194,35,0,0,0,0.00,8.16
1789454457,193811232,31,0,0,0,0.00,6.19
1789454458,193895268,35,1,1,0,0.00,9.09
1789454459,194175302,30,0,0,0,2.00,9.90
1789454460,193884343,36,1,1,0,0.00,7.29
1789454461,193891380,32,0,0,0,0.00,6.25
1789454462,193899417,30,1,1,0,0.00,9.00
1789454463,194011452,13,0,0,0,0.00,2.04
1789454464,193906491,34,1,1,0,0.00,10.20
1789454465,193873528,28,0,0,0,0.00,7.00
1789454466,193907565,47,1,1,0,0.00,12.12
1789454467,193894602,55,0,0,0,0.00,24.75
1789454468,193883639,26,0,0,0,0.00,7.92
1789454469,193877676,36,0,1,0,0.00,9.09
1789454470,193884713,29,0,0,0,0.00,6.19
1789454471,193938749,32,0,0,0,0.00,9.80
1789454472,193886787,30,0,0,0,0.00,7.14
1789454473,193938823,21,0,2,0,0.00,6.06
1789454474,193897860,37,0,0,0,0.00,10.10
1789454475,193856898,34,1,1,0,0.00,8.16
1789454476,196286903,34,1,1,0,0.00,9.00
1789454477,193902971,26,0,0,0,0.00,8.91
1789454478,193786009,30,0,0,0,0.00,7.14
1789454479,193886045,32,0,0,0,0.00,10.89
1789454480,193892081,30,0,0,0,0.00,8.00
1789454481,193901118,27,0,0,0,0.00,6.12
1789454482,193895155,21,1,1,0,0.00,5.10
1789454483,193888192,38,0,0,0,0.00,8.16
1789454484,193886229,35,0,0,0,0.00,7.92
1789454485,193877266,31,0,0,0,0.00,7.37
1789454486,193898302,23,0,0,0,0.00,7.14
1789454487,193898339,28,0,0,0,0.00,9.00
1789454488,193894376,35,1,1,0,0.00,6.25
1789454489,193901412,29,0,0,0,0.00,8.08
1789454490,193946448,25,1,1,0,0.00,6.06
1789454491,193883486,38,0,0,0,0.00,10.20
1789454492,193878523,33,0,0,0,0.00,9.00
1789454493,193946558,22,0,0,0,0.00,5.10
1789454494,195420576,34,0,0,0,0.00,6.12
1789454495,193882632,26,0,0,0,0.00,7.92
1789454496,193895669,38,1,1,0,0.00,11.00
1789454497,193877706,27,0,0,0,0.00,6.12
1789454498,194179738,34,0,0,0,0.00,9.90
1789454499,193889779,33,0,0,0,0.00,11.11
1789454500,193894815,30,1,1,0,0.00,8.00
1789454501,193808853,40,0,0,0,0.00,11.11
1789454502,193818889,32,2,2,0,0.00,4.26
1789454503,193936924,43,0,0,0,0.00,12.12
1789454504,193883962,29,1,1,0,0.00,7.14
1789454505,193888998,36,0,0,0,0.00,9.09
1789454506,193887035,30,0,0,0,0.00,8.08
1789454507,193889071,33,0,0,0,0.00,6.12
1789454508,193827108,36,1,1,0,0.00,11.00
1789454509,193790145,37,1,1,0,0.00,12.00
1789454510,193788182,32,0,0,0,0.00,6.19
1789454511,193796218,29,0,0,0,0.00,8.00
1789454512,193945253,19,0,0,0,0.00,4.08
1789454513,194408283,37,0,0,0,0.00,11.00
1789454514,193895326,29,1,2,0,0.00,8.08
1789454515,193898362,34,1,2,0,0.00,10.00
1789454516,193951398,28,2,2,0,0.00,5.10
1789454517,193886435,37,0,0,0,0.00,11.22
1789454518,193902472,35,1,1,0,0.00,10.89
1789454519,193880508,44,0,0,0,0.00,9.28
1789454520,193893544,25,0,0,0,0.00,5.10
1789454521,193887581,24,0,0,0,0.00,6.12
1789454522,193888617,26,0,0,0,0.00,7.07
1789454523,194511645,22,2,2,0,2.00,6.12
1789454524,193921689,37,0,0,0,0.00,7.22
1789454525,194153722,19,0,1,0,2.00,7.84
1789454526,193788763,69,0,0,0,0.00,12.63
1789454527,195194781,27,2,2,0,0.00,16.67
1789454528,193919834,30,2,2,0,0.00,7.14
1789454529,193888871,32,0,0,0,0.00,9.80
1789454530,195119891,32,0,0,0,0.00,6.25
1789454531,193885943,36,0,0,0,0.00,6.32
1789454532,193880980,31,0,0,0,0.00,5.15
1789454533,193892016,20,0,0,0,0.00,8.00
1789454534,193890052,20,0,0,0,0.00,6.00
1789454535,193887088,31,0,0,0,0.00,8.08
1789454536,193875124,32,2,2,0,0.00,11.76
1789454537,193799162,39,1,1,0,0.00,11.11
1789454538,193881197,30,0,0,0,0.00,7.07
1789454539,193929232,24,0,0,0,0.00,6.06
1789454540,193902269,33,1,1,0,0.00,6.19
1789454541,193896305,34,1,0,0,0.00,7.22
1789454542,193936340,11,0,0,0,0.00,6.73
1789454543,193886377,47,2,2,0,0.00,10.10
1789454544,193908413,33,0,0,0,0.00,3.19
1789454545,193895449,39,0,1,0,0.00,13.73
1789454546,193884485,36,1,1,0,0.00,6.25
1789454547,195327503,28,1,1,0,0.00,11.11
1789454548,193929557,21,0,0,0,0.00,6.93
